PROJECT,NO_TEST,NO_ALGO,NO_ACCURACY,NO_ATTACK_CHECK
../../Data/supervised/GITHUB_REPOS//biolab@orange3,0,0,0,1
../../Data/supervised/GITHUB_REPOS//ntucllab@libact,0,0,1,1
../../Data/supervised/GITHUB_REPOS//EderSantana@seya,0,0,1,1
../../Data/supervised/GITHUB_REPOS//deepchem@deepchem,0,0,1,1
../../Data/supervised/GITHUB_REPOS//CarterBain@AlephNull,0,1,1,1
../../Data/supervised/GITHUB_REPOS//certtools@intelmq,0,1,1,1
../../Data/supervised/GITHUB_REPOS//automl@auto-sklearn,0,1,1,1
../../Data/supervised/GITHUB_REPOS//biolab@orange,0,1,1,1
../../Data/supervised/GITHUB_REPOS//vitruvianscience@OpenDeep,0,1,1,1
../../Data/supervised/GITHUB_REPOS//scikit-image@scikit-image,0,1,1,1
../../Data/supervised/GITHUB_REPOS//fxsjy@jieba,0,1,1,1
../../Data/supervised/GITHUB_REPOS//shlomimatichin@Voodoo-Mock,0,1,1,1
../../Data/supervised/GITHUB_REPOS//lisa-lab@pylearn2,0,1,1,1
../../Data/supervised/GITHUB_REPOS//nicodv@kmodes,0,1,1,1
../../Data/supervised/GITHUB_REPOS//PythonOptimizers@pykrylov,0,1,1,1
../../Data/supervised/GITHUB_REPOS//scheibler@khard,0,1,1,1
../../Data/supervised/GITHUB_REPOS//lensacom@sparkit-learn,0,1,1,1
../../Data/supervised/GITHUB_REPOS//dmnfarrell@pandastable,0,1,1,1
../../Data/supervised/GITHUB_REPOS//scieloorg@scielo-manager,0,1,1,1
../../Data/supervised/GITHUB_REPOS//hyperopt@hyperopt,0,1,1,1
../../Data/supervised/GITHUB_REPOS//automl@RoBO,0,1,1,1
../../Data/supervised/GITHUB_REPOS//Amber-MD@pytraj,0,1,1,1
../../Data/supervised/GITHUB_REPOS//numenta@nupic.research,0,1,1,1
../../Data/supervised/GITHUB_REPOS//scot-dev@scot,0,1,1,1
../../Data/supervised/GITHUB_REPOS//neuropoly@spinalcordtoolbox,0,1,1,1
../../Data/supervised/GITHUB_REPOS//scotch@engineauth,0,1,1,1
../../Data/supervised/GITHUB_REPOS//etal@cnvkit,0,1,1,1
../../Data/supervised/GITHUB_REPOS//numenta@nupic,0,1,1,1
../../Data/supervised/GITHUB_REPOS//sametmax@Django--an-app-at-a-time,0,1,1,1
../../Data/supervised/GITHUB_REPOS//senarvi@theanolm,0,1,1,1
../../Data/supervised/GITHUB_REPOS//sbenten@d3MapRenderer,0,1,1,1
../../Data/supervised/GITHUB_REPOS//scikit-rf@scikit-rf,0,1,1,1
../../Data/supervised/GITHUB_REPOS//FRED-2@Fred2,0,1,1,1
../../Data/supervised/GITHUB_REPOS//scikit-multilearn@scikit-multilearn,0,1,1,1
../../Data/supervised/GITHUB_REPOS//jaberg@skdata,0,1,1,1
../../Data/supervised/GITHUB_REPOS//500px@PxMagic,0,1,1,1
../../Data/supervised/GITHUB_REPOS//ilastik@lazyflow,0,1,1,1
../../Data/supervised/GITHUB_REPOS//blackecho@Deep-Learning-TensorFlow,0,1,1,1
../../Data/supervised/GITHUB_REPOS//sagemath@sage,0,1,1,1
../../Data/supervised/GITHUB_REPOS//kvh@ramp,0,1,1,1
../../Data/supervised/GITHUB_REPOS//jeongyoonlee@Kaggler,0,1,1,1
../../Data/supervised/GITHUB_REPOS//aliyun@aliyun-oss-python-sdk,0,1,1,1
../../Data/supervised/GITHUB_REPOS//seomoz@mozsci,0,1,1,1
../../Data/supervised/GITHUB_REPOS//PythonCharmers@python-future,0,1,1,1
../../Data/supervised/GITHUB_REPOS//scikit-learn@scikit-learn,0,1,1,1
../../Data/supervised/GITHUB_REPOS//sendgrid@sendgrid-python,0,1,1,1
../../Data/supervised/GITHUB_REPOS//semanticize@semanticizer,0,1,1,1
../../Data/supervised/GITHUB_REPOS//NervanaSystems@neon,1,1,1,1
../../Data/supervised/GITHUB_REPOS//LxMLS@lxmls-toolkit,1,1,1,1
../../Data/supervised/GITHUB_REPOS//dssg@tweedr,1,1,1,1
../../Data/supervised/GITHUB_REPOS//fabriziocosta@EDeN,1,1,1,1
../../Data/supervised/GITHUB_REPOS//scikit-build@scikit-build,1,1,1,1
../../Data/supervised/GITHUB_REPOS//scikit-learn-contrib@imbalanced-learn,1,1,1,1
../../Data/supervised/GITHUB_REPOS//bsmurphy@PyKrige,1,1,1,1
../../Data/supervised/GITHUB_REPOS//scikit-learn-contrib@lightning,1,1,1,1
../../Data/supervised/GITHUB_REPOS//abunsen@Paython,1,1,1,1
../../Data/supervised/GITHUB_REPOS//bslatkin@effectivepython,1,1,1,1
../../Data/supervised/GITHUB_REPOS//chapmanb@bcbio-nextgen,1,1,1,1
../../Data/supervised/GITHUB_REPOS//mne-tools@mne-python,1,1,1,1
../../Data/supervised/GITHUB_REPOS//mesnilgr@is13,1,1,1,1
../../Data/supervised/GITHUB_REPOS//scipy@scipy,1,1,1,1
../../Data/supervised/GITHUB_REPOS//Newmu@dcgan_code,1,1,1,1
../../Data/supervised/GITHUB_REPOS//earshel@PokeyPySnipe,1,1,1,1
../../Data/supervised/GITHUB_REPOS//seomoz@dragnet,1,1,1,1
../../Data/supervised/GITHUB_REPOS//craffel@midi-dataset,1,1,1,1
../../Data/supervised/GITHUB_REPOS//cemoody@lda2vec,1,1,1,1
../../Data/supervised/GITHUB_REPOS//lmjohns3@theanets,1,1,1,1
../../Data/supervised/GITHUB_REPOS//scipy-lectures@scipy-lecture-notes,1,1,1,1
../../Data/supervised/GITHUB_REPOS//trailbehind@Deep-OSM,1,1,1,1
../../Data/supervised/GITHUB_REPOS//IDSIA@brainstorm,1,1,1,1
../../Data/supervised/GITHUB_REPOS//casperkaae@parmesan,1,1,1,1
../../Data/supervised/GITHUB_REPOS//Abjad@abjad,1,1,1,1
../../Data/supervised/GITHUB_REPOS//satanas@libturpial,1,1,1,1
../../Data/supervised/GITHUB_REPOS//fmfn@BayesianOptimization,1,1,1,1
../../Data/supervised/GITHUB_REPOS//avisingh599@visual-qa,1,1,1,1
../../Data/supervised/GITHUB_REPOS//blei-lab@edward,1,1,1,1
../../Data/supervised/GITHUB_REPOS//sympy@sympy,1,1,1,1
../../Data/supervised/GITHUB_REPOS//0rpc@zerorpc-python,1,1,1,1
../../Data/supervised/GITHUB_REPOS//nipy@dipy,1,1,1,1
../../Data/supervised/GITHUB_REPOS//scikit-learn-contrib@py-earth,1,1,1,1
../../Data/supervised/GITHUB_REPOS//breuderink@eegtools,1,1,1,1
../../Data/supervised/GITHUB_REPOS//screenfreeze@deskcon-desktop,1,1,1,1
../../Data/supervised/GITHUB_REPOS//neurospin@pylearn-parsimony,1,1,1,1
